PropertyType,ClassName,Element,Role
mrd:MD_MediumFormatCode_PropertyType,MD_Medium,offLine,mediumFormat
mcc:MD_Identifier_PropertyType,MD_Medium,offLine,identifier
gco:DateTime_PropertyType,MD_StandardOrderProcess,,plannedAvailableDateTime
gco:RecordType_PropertyType,MD_StandardOrderProcess,,orderOptionsType
gco:Record_PropertyType,MD_StandardOrderProcess,,orderOptions
"<?xml version=""1.0"" encoding=""UTF-8""?>gmw:GM_Object_PropertyType",EX_BoundingPolygon,,polygon
gco:CharacterString_PropertyType,EX_Extent,,description
gex:AbstractEX_GeographicExtent_PropertyType,EX_Extent,,geographicElement
gex:AbstractEX_GeographicExtent_PropertyType,EX_SpatialTemporalExtent,,spatialExtent
gex:EX_TemporalExtent_PropertyType,EX_Extent,,temporalElement
gex:EX_VerticalExtent_PropertyType,EX_Extent,,verticalElement
gex:EX_VerticalExtent_PropertyType,EX_SpatialTemporalExtent,,verticalExtent
gco:Decimal_PropertyType,EX_GeographicBoundingBox,,westBoundLongitude
gco:Decimal_PropertyType,EX_GeographicBoundingBox,,eastBoundLongitude
gco:Decimal_PropertyType,EX_GeographicBoundingBox,,southBoundLatitude
gco:Decimal_PropertyType,EX_GeographicBoundingBox,,northBoundLatitude
mcc:MD_Identifier_PropertyType,EX_GeographicDescription,,geographicIdentifier
gco:Boolean_PropertyType,AbstractEX_GeographicExtent,geographicElement,extentTypeCode
gmw:TM_Primitive_PropertyType,EX_TemporalExtent,temporalElement,extent
gco:Real_PropertyType,EX_VerticalExtent,verticalElement,minimumValue
gco:Real_PropertyType,EX_VerticalExtent,verticalElement,maximumValue
mcc:Abstract_ReferenceSystem_PropertyType,EX_VerticalExtent,verticalElement,verticalCRSId
gmw:SC_CRS_PropertyType,EX_VerticalExtent,verticalElement,verticalCRS
mcc:Abstract_Citation_PropertyType,MD_Format,distributionFormat,formatSpecificationCitation
mcc:Abstract_Citation_PropertyType,MD_Georeferenceable,,parameterCitation
mcc:Abstract_Citation_PropertyType,MD_Identifier,,authority
mcc:Abstract_Citation_PropertyType,MD_KeywordClass,keywordClass,ontology
mcc:Abstract_Citation_PropertyType,MD_Keywords,descriptiveKeywords,thesaurusName
mcc:Abstract_Citation_PropertyType,MD_Medium,offLine,name
mcc:Abstract_Citation_PropertyType,MD_Metadata,,parentMetadata
mcc:Abstract_Citation_PropertyType,MD_Metadata,,metadataStandard
mri:DS_AssociationTypeCode_PropertyType,MD_AssociatedResource,associatedResource,associationType
mri:DS_InitiativeTypeCode_PropertyType,MD_AssociatedResource,associatedResource,initiativeType
lan:PT_Locale_PropertyType,MD_DataIdentification,,defaultLocale
lan:PT_Locale_PropertyType,MD_DataIdentification,,otherLocale
gco:CharacterString_PropertyType,MD_DataIdentification,,environmentDescription
gco:CharacterString_PropertyType,MD_DataIdentification,,supplementalInformation
gco:CharacterString_PropertyType,AbstractMD_Identification,,abstract
gco:CharacterString_PropertyType,AbstractMD_Identification,,purpose
gco:CharacterString_PropertyType,AbstractMD_Identification,,credit
gco:CharacterString_PropertyType,MD_KeywordClass,keywordClass,className
gco:CharacterString_PropertyType,MD_Keywords,descriptiveKeywords,keyword
gco:CharacterString_PropertyType,MD_Resolution,spatialResolution,levelOfDetail
gco:CharacterString_PropertyType,MD_Usage,resourceSpecificUsage,specificUsage
gco:CharacterString_PropertyType,MD_Usage,resourceSpecificUsage,userDeterminedLimitations
gco:CharacterString_PropertyType,MD_Usage,resourceSpecificUsage,response
mcc:MD_ProgressCode_PropertyType,AbstractMD_Identification,,status
mcc:Abstract_Responsibility_PropertyType,MD_MaintenanceInformation,,contact
mcc:Abstract_Responsibility_PropertyType,MD_ExtendedElementInformation,extendedElementInformation,source
mcc:MD_SpatialRepresentationTypeCode_PropertyType,AbstractMD_Identification,,spatialRepresentationType
mri:MD_Resolution_PropertyType,AbstractMD_Identification,,spatialResolution
gco:TM_PeriodDuration_PropertyType,AbstractMD_Identification,,temporalResolution
mri:MD_TopicCategoryCode_PropertyType,AbstractMD_Identification,,topicCategory
mcc:Abstract_Extent_PropertyType,AbstractMD_Identification,,extent
mcc:MD_Identifier_PropertyType,AbstractMD_Identification,,processingLevel
mcc:Abstract_MaintenanceInformation_PropertyType,AbstractMD_Identification,,resourceMaintenance
mcc:MD_BrowseGraphic_PropertyType,AbstractMD_Identification,,graphicOverview
mcc:Abstract_Format_PropertyType,AbstractMD_Identification,,resourceFormat
mri:MD_Keywords_PropertyType,AbstractMD_Identification,,descriptiveKeywords
mri:MD_Usage_PropertyType,AbstractMD_Identification,,resourceSpecificUsage
mcc:Abstract_Constraints_PropertyType,AbstractMD_Identification,,resourceConstraints
mri:MD_AssociatedResource_PropertyType,AbstractMD_Identification,,associatedResource
mcc:URI_PropertyType,MD_KeywordClass,keywordClass,conceptIdentifier
mri:MD_KeywordTypeCode_PropertyType,MD_Keywords,descriptiveKeywords,type
mri:MD_KeywordClass_PropertyType,MD_Keywords,descriptiveKeywords,keywordClass
gco:Integer_PropertyType,MD_RepresentativeFraction,equivalentScale,denominator
mri:MD_RepresentativeFraction_PropertyType,MD_Resolution,spatialResolution,equivalentScale
gco:Distance_PropertyType,MD_Resolution,spatialResolution,distance
gco:Distance_PropertyType,MD_Resolution,spatialResolution,vertical
gco:Angle_PropertyType,MD_Resolution,spatialResolution,angularDistance
gmw:TM_Primitive_PropertyType,MD_Usage,resourceSpecificUsage,usageDateTime
lan:LocalisedCharacterString_PropertyType,PT_FreeText,,textGroup
lan:LocalisedCharacterString_PropertyType,PT_LocaleContainer,,localisedString
lan:LanguageCode_PropertyType,PT_Locale,locale,language
lan:CountryCode_PropertyType,PT_Locale,locale,country
lan:MD_CharacterSetCode_PropertyType,PT_Locale,locale,characterEncoding
gco:CharacterString_PropertyType,PT_LocaleContainer,,description
lan:PT_Locale_PropertyType,PT_LocaleContainer,,locale
cit:CI_Date_PropertyType,PT_LocaleContainer,,date
mcc:Abstract_Responsibility_PropertyType,MD_Distributor,distributor,distributorContact
gco:CharacterString_PropertyType,LI_Lineage,,statement
gco:CharacterString_PropertyType,LI_ProcessStep,processStep,description
gco:CharacterString_PropertyType,LI_ProcessStep,processStep,rationale
gco:CharacterString_PropertyType,LI_Source,source,description
mcc:MD_Scope_PropertyType,LI_Lineage,,scope
mcc:MD_Scope_PropertyType,LI_ProcessStep,processStep,scope
mcc:MD_Scope_PropertyType,LI_Source,source,scope
mcc:Abstract_Citation_PropertyType,MD_Metadata,,metadataProfile
mcc:Abstract_Citation_PropertyType,MD_Metadata,,alternativeMetadataReference
mcc:Abstract_Citation_PropertyType,MD_PortrayalCatalogueReference,,portrayalCatalogueCitation
mcc:Abstract_Citation_PropertyType,MD_Usage,resourceSpecificUsage,additionalDocumentation
mrl:LI_Source_PropertyType,LI_Lineage,,source
mrl:LI_Source_PropertyType,LI_ProcessStep,processStep,source
mrl:LI_ProcessStep_PropertyType,LI_Lineage,,processStep
mrl:LI_ProcessStep_PropertyType,LI_Source,source,sourceStep
gmw:TM_Primitive_PropertyType,LI_ProcessStep,processStep,stepDateTime
mcc:Abstract_Responsibility_PropertyType,MD_Constraints,,responsibleParty
mcc:Abstract_SpatialResolution_PropertyType,LI_Source,source,sourceSpatialResolution
mcc:Abstract_ReferenceSystem_PropertyType,LI_Source,source,sourceReferenceSystem
mmi:MD_MaintenanceFrequencyCode_PropertyType,MD_MaintenanceInformation,,maintenanceAndUpdateFrequency
mcc:Abstract_TypedDate_PropertyType,MD_MaintenanceInformation,,maintenanceDate
gco:TM_PeriodDuration_PropertyType,MD_MaintenanceInformation,,userDefinedMaintenanceFrequency
mcc:MD_Scope_PropertyType,MD_MaintenanceInformation,,maintenanceScope
gco:CharacterString_PropertyType,MD_MaintenanceInformation,,maintenanceNote
mcc:Abstract_Responsibility_PropertyType,LI_ProcessStep,processStep,processor
mda:AbstractDS_Resource_PropertyType,AbstractDS_Aggregate,,composedOf
mdb:MD_Metadata_PropertyType,AbstractDS_Resource,composedOf,has
mcc:MD_Identifier_PropertyType,MD_Metadata,,metadataIdentifier
lan:PT_Locale_PropertyType,MD_Metadata,,defaultLocale
lan:PT_Locale_PropertyType,MD_Metadata,,otherLocale
mcc:Abstract_Citation_PropertyType,MD_Usage,resourceSpecificUsage,identifiedIssues
mcc:Abstract_Citation_PropertyType,MI_Instrument,instrument,citation
mcc:Abstract_Citation_PropertyType,MI_Operation,operation,citation
mcc:Abstract_Citation_PropertyType,MI_Plan,acquisitionPlan,citation
mdb:MD_MetadataScope_PropertyType,MD_Metadata,,metadataScope
cit:CI_Responsibility_PropertyType,CI_Citation,,citedResponsibleParty
mcc:Abstract_TypedDate_PropertyType,MD_Metadata,,dateInfo
mcc:Abstract_OnlineResource_PropertyType,MD_Metadata,,metadataLinkage
mcc:Abstract_SpatialRepresentation_PropertyType,MD_Metadata,,spatialRepresentationInfo
mcc:Abstract_ReferenceSystem_PropertyType,MD_Metadata,,referenceSystemInfo
mcc:Abstract_MetadataExtension_PropertyType,MD_Metadata,,metadataExtensionInfo
mcc:Abstract_ResourceDescription_PropertyType,MD_Metadata,,identificationInfo
mcc:Abstract_ContentInformation_PropertyType,MD_Metadata,,contentInfo
mcc:Abstract_Distribution_PropertyType,MD_Metadata,,distributionInfo
dqc:Abstract_DataQuality_PropertyType,MD_Metadata,,dataQualityInfo
mcc:Abstract_LineageInformation_PropertyType,MD_Metadata,,resourceLineage
mcc:Abstract_PortrayalCatalogueInformation_PropertyType,MD_Metadata,,portrayalCatalogueInfo
mcc:Abstract_Constraints_PropertyType,MD_Metadata,,metadataConstraints
mcc:Abstract_ApplicationSchemaInformation_PropertyType,MD_Metadata,,applicationSchemaInfo
mcc:Abstract_MaintenanceInformation_PropertyType,MD_Metadata,,metadataMaintenance
mcc:Abstract_AcquisitionInformation_PropertyType,MD_Metadata,,acquisitionInformation
mcc:MD_ScopeCode_PropertyType,MD_MetadataScope,metadataScope,resourceScope
gco:CharacterString_PropertyType,MD_MetadataScope,metadataScope,name
"<?xml version=""1.0"" encoding=""UTF-8""?>gco:CharacterString_PropertyType",MD_ExtendedElementInformation,extendedElementInformation,name
gco:CharacterString_PropertyType,MD_ExtendedElementInformation,extendedElementInformation,definition
gco:CharacterString_PropertyType,MD_ExtendedElementInformation,extendedElementInformation,condition
gco:CharacterString_PropertyType,MD_ExtendedElementInformation,extendedElementInformation,maximumOccurrence
gco:CharacterString_PropertyType,MD_ExtendedElementInformation,extendedElementInformation,domainValue
gco:CharacterString_PropertyType,MD_ExtendedElementInformation,extendedElementInformation,parentEntity
gco:CharacterString_PropertyType,MD_ExtendedElementInformation,extendedElementInformation,rule
gco:CharacterString_PropertyType,MD_ExtendedElementInformation,extendedElementInformation,rationale
gco:CharacterString_PropertyType,MD_ExtendedElementInformation,extendedElementInformation,conceptName
gco:CharacterString_PropertyType,MD_ExtendedElementInformation,extendedElementInformation,code
